id,word_vocalized,word_clean,transliteration,root,pos,semantic_intent,fusha_equivalent,definition,region,synonyms,phonetic_variants,note,source,examples,proverbs,tags,searchable_text
274,الْخَرَّه,الخره,alkhrh,خرر,Noun,object,سقالة البناء,لوح خشبي يربط بحبال يجلس عليه البناء لترميم الواجهات العالية.,general,"[""سقالة""]",[],بالراء المشددة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 46,"[{""f"": ""صعد البناء على السقالة لطلاء الجدار."", ""h"": ""البناء طلع على الخرة يبيض الجدار.""}, {""f"": ""اربط حبال السقالة جيداً كي لا تسقط."", ""h"": ""اربط حبال الخرة زين لا تطيح.""}]",[],"[""architecture"", ""tools"", ""building""]","الكلمة: الْخَرَّه (الخره)
الجذر: خرر
الفصحى: سقالة البناء
المعنى: لوح خشبي يربط بحبال يجلس عليه البناء لترميم الواجهات العالية.
المرادفات: سقالة
مثال: البناء طلع على الخرة يبيض الجدار.
الوسوم: architecture، tools، building
ملاحظة: بالراء المشددة."
275,خَنَم,خنم,khnm,خنم,Verb,action,تعفن أو تغيرت رائحته,تغير طعم الأكل أو رائحته نتيجة التعفن أو البقاء طويلاً.,general,"[""عفن"", ""تغير""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 46,"[{""f"": ""اللحم تعفن بسبب حرارة الشمس الشديدة."", ""h"": ""اللحم خنم من كثر الشمس.""}, {""f"": ""لا تشرب هذا الماء، أظن أن طعمه قد تغير."", ""h"": ""لا تشرب الماء هذا، أظنه خنم.""}]",[],"[""food"", ""description""]","الكلمة: خَنَم (خنم)
الجذر: خنم
الفصحى: تعفن أو تغيرت رائحته
المعنى: تغير طعم الأكل أو رائحته نتيجة التعفن أو البقاء طويلاً.
المرادفات: عفن، تغير
مثال: اللحم خنم من كثر الشمس.
الوسوم: food، description"
276,الْخَلْعَه,الخلعه,alkhl3h,خلع,Noun,object,كساء العروس,الثياب الفاخرة التي ترتديها العروس ليلة زفافها.,general,"[""كساء"", ""حلة""]",[],مرتبطة بالأغاني الشعبية القديمة في الأفراح.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 46,"[{""f"": ""العروس ترتدي كساءً جميلاً الليلة."", ""h"": ""العروس لابسة خلعة زينة الليلة.""}, {""f"": ""رددن الأهازيج للعروس وهي ترتدي ثياب زفافها."", ""h"": ""غنين للعروس وهي بالخلعة.""}]",[],"[""social customs"", ""clothing"", ""wedding""]","الكلمة: الْخَلْعَه (الخلعه)
الجذر: خلع
الفصحى: كساء العروس
المعنى: الثياب الفاخرة التي ترتديها العروس ليلة زفافها.
المرادفات: كساء، حلة
مثال: العروس لابسة خلعة زينة الليلة.
الوسوم: social customs، clothing، wedding
ملاحظة: مرتبطة بالأغاني الشعبية القديمة في الأفراح."
277,الْخيْل,الخيل,alkhyl,خيل,Noun,object,غصن التمر (شمروخ),الغصن الصغير الذي يحمل حبات التمر ضمن العذق.,general,"[""شمروخ""]",[],يسمى أيضاً شمروخ.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 46,"[{""f"": ""أعطِ الطفل الصغير غصناً صغيراً من التمر."", ""h"": ""أعط الصغير خيل تمر.""}, {""f"": ""هذا الغصن تمره من النوع السكري."", ""h"": ""الخيل هذا تمره سكري.""}]",[],"[""agriculture"", ""nature"", ""tree""]","الكلمة: الْخيْل (الخيل)
الجذر: خيل
الفصحى: غصن التمر (شمروخ)
المعنى: الغصن الصغير الذي يحمل حبات التمر ضمن العذق.
المرادفات: شمروخ
مثال: أعط الصغير خيل تمر.
الوسوم: agriculture، nature، tree
ملاحظة: يسمى أيضاً شمروخ."
278,خَزْوَه,خزوه,khzwh,خزي,Noun,emotion,عيب أو خجل,تستخدم للتعبير عن العيب أو الإحراج الشديد أمام الآخرين.,general,"[""عيب"", ""منقود"", ""فضيحة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 47,"[{""f"": ""لا تفعل هذا، فهو أمر مخجل أمام الناس."", ""h"": ""لا تسوي كذا، خزوة قدام الناس.""}, {""f"": ""أحرجتمونا بحديثكم هذا."", ""h"": ""خزيتوبنا بكلامكم هذا.""}]",[],"[""behavior"", ""emotions"", ""shame""]","الكلمة: خَزْوَه (خزوه)
الجذر: خزي
الفصحى: عيب أو خجل
المعنى: تستخدم للتعبير عن العيب أو الإحراج الشديد أمام الآخرين.
المرادفات: عيب، منقود، فضيحة
مثال: لا تسوي كذا، خزوة قدام الناس.
الوسوم: behavior، emotions، shame"
279,خَبّ,خب,khb,خبب,Verb,action,ركض أو جرى,الإسراع في المشي أو الجري.,general,"[""ركض"", ""عدا""]",[],بفتح الخاء، والمضارع (يخُب) بضمها.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 47,"[{""f"": ""رأيته يركض في مجرى السيل."", ""h"": ""شفته يخب في المسيله.""}, {""f"": ""اسرع يا ولد لتلحق بأبيك."", ""h"": ""خب يا وليد الحق أبوك.""}]",[],"[""daily life"", ""verbs"", ""run""]","الكلمة: خَبّ (خب)
الجذر: خبب
الفصحى: ركض أو جرى
المعنى: الإسراع في المشي أو الجري.
المرادفات: ركض، عدا
مثال: شفته يخب في المسيله.
الوسوم: daily life، verbs، run
ملاحظة: بفتح الخاء، والمضارع (يخُب) بضمها."
280,الْخَمِي,الخمي,alkhmy,خمي,Noun,object,ماء عكر,الماء المتسخ أو المعكر الذي لا يصلح للشرب.,general,"[""كدر"", ""عكر""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 47,"[{""f"": ""لا تغسل وجهك بهذا الماء المعكر."", ""h"": ""لا تغسل وجهك بهذا الخمي.""}, {""f"": ""قناة الري مليئة بالماء العكر اليوم."", ""h"": ""الساقية كلها خمي اليوم.""}]",[],"[""nature"", ""daily life"", ""dirty""]","الكلمة: الْخَمِي (الخمي)
الجذر: خمي
الفصحى: ماء عكر
المعنى: الماء المتسخ أو المعكر الذي لا يصلح للشرب.
المرادفات: كدر، عكر
مثال: لا تغسل وجهك بهذا الخمي.
الوسوم: nature، daily life، dirty"
281,خُرْنُثَى,خرنثى,khrntha,خرنث,Noun,object,خنثى,تسمية تطلق غالباً على الحيوان الذي لا يتبين جنسه أهو ذكر أم أنثى.,general,"[""خنيث""]",[],لفظ فصيح مستخدم في اللهجة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 48,"[{""f"": ""هذا الجدي الصغير خنثى لم يتضح جنسه."", ""h"": ""هذا طلي خرنثى ما بان نوعه.""}, {""f"": ""كان العرب يطلقون اسم خنثى على الحيوان الذي يصعب تحديد جنسه."", ""h"": ""العرب كانت تسمي الحيوان المشكل خرنثى.""}]",[],"[""nature"", ""animals"", ""animal gender""]","الكلمة: خُرْنُثَى (خرنثى)
الجذر: خرنث
الفصحى: خنثى
المعنى: تسمية تطلق غالباً على الحيوان الذي لا يتبين جنسه أهو ذكر أم أنثى.
المرادفات: خنيث
مثال: هذا طلي خرنثى ما بان نوعه.
الوسوم: nature، animals، animal gender
ملاحظة: لفظ فصيح مستخدم في اللهجة."
282,الْخَنَّه,الخنه,alkhnh,خنن,Noun,object,الغشوة أو النقاب,الخمار الذي يسدل على وجه المرأة فتراه ولا يراها أحد.,general,"[""غشوة"", ""نقاب""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 48,"[{""f"": ""أسدلت النقاب على وجهها."", ""h"": ""نزلت الخنة على وجهها.""}, {""f"": ""النقاب يستر المرأة في السوق."", ""h"": ""الخنة تستر الحرمة في السوق.""}]",[],"[""daily life"", ""clothing"", ""makeup""]","الكلمة: الْخَنَّه (الخنه)
الجذر: خنن
الفصحى: الغشوة أو النقاب
المعنى: الخمار الذي يسدل على وجه المرأة فتراه ولا يراها أحد.
المرادفات: غشوة، نقاب
مثال: نزلت الخنة على وجهها.
الوسوم: daily life، clothing، makeup"
283,خَجَع,خجع,khj3,خجع,Adjective,descriptor,أحمق أو أهبل,وصف للشخص الذي يتصرف بجهل أو حمق.,general,"[""أهبل"", ""غبي""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 48,"[{""f"": ""أحمق لا يعرف أين تكمن مصلحته."", ""h"": ""خجع ما يدري وين مصلحته.""}, {""f"": ""لا تستمع لحديثه، فهو إنسان أحمق."", ""h"": ""لا تسمع كلامه، تراه خجع.""}]",[],"[""behavior"", ""description"", ""stupid""]","الكلمة: خَجَع (خجع)
الجذر: خجع
الفصحى: أحمق أو أهبل
المعنى: وصف للشخص الذي يتصرف بجهل أو حمق.
المرادفات: أهبل، غبي
مثال: خجع ما يدري وين مصلحته.
الوسوم: behavior، description، stupid"
284,خلَص,خلص,khlS,خلص,Noun,object,منفذ مائي,الفتحة أو القناة الصغيرة التي تنقل الماء بين بركتين أو حوضين.,general,"[""مجرى"", ""منفذ""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 49,"[{""f"": ""انفتح المنفذ المائي وذهب الماء للحوض الآخر."", ""h"": ""انفتح الخلص وراح الماء للبركة الثانية.""}, {""f"": ""أغلق المنفذ كي لا يضيع الماء."", ""h"": ""سد الخلص لا يضيع الماء.""}]",[],"[""agriculture"", ""nature"", ""water""]","الكلمة: خلَص (خلص)
الجذر: خلص
الفصحى: منفذ مائي
المعنى: الفتحة أو القناة الصغيرة التي تنقل الماء بين بركتين أو حوضين.
المرادفات: مجرى، منفذ
مثال: انفتح الخلص وراح الماء للبركة الثانية.
الوسوم: agriculture، nature، water"
285,الدَّنّ,الدن,aldn,دنن,Noun,object,وعاء فخاري,وعاء فخاري كبير يستخدم لحفظ وشرب الماء، يمتاز بتبريد الماء طبيعياً.,general,"[""زير"", ""كوز""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 49,"[{""f"": ""اشرب من الوعاء الفخاري فماؤه بارد."", ""h"": ""اشرب من الدن ماءه بارد.""}, {""f"": ""ملأنا الوعاء الفخاري من البئر."", ""h"": ""ملينا الدن من البئر.""}]",[],"[""tools"", ""daily life"", ""water""]","الكلمة: الدَّنّ (الدن)
الجذر: دنن
الفصحى: وعاء فخاري
المعنى: وعاء فخاري كبير يستخدم لحفظ وشرب الماء، يمتاز بتبريد الماء طبيعياً.
المرادفات: زير، كوز
مثال: اشرب من الدن ماءه بارد.
الوسوم: tools، daily life، water"
286,الدَّاشِر,الداشر,aldashr,دشر,Adjective,descriptor,الفاسد أو الضائع,وصف للشخص الذي يترك العمل ويهيم في الشوارع أو يتصرف بفساد.,general,"[""ضائع"", ""فاسد""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 49,"[{""f"": ""هذا الولد ضائع ولا يحب الذهاب للمدرسة."", ""h"": ""الولد هذا داشر ما يحب المدرسة.""}, {""f"": ""كن مع الصالحين ولا تتبع المفسدين."", ""h"": ""خلك مع الصالحين ولا تتبع الداشرين.""}]",[],"[""behavior"", ""description"", ""waste""]","الكلمة: الدَّاشِر (الداشر)
الجذر: دشر
الفصحى: الفاسد أو الضائع
المعنى: وصف للشخص الذي يترك العمل ويهيم في الشوارع أو يتصرف بفساد.
المرادفات: ضائع، فاسد
مثال: الولد هذا داشر ما يحب المدرسة.
الوسوم: behavior، description، waste"
287,خيبه,خيبه,khybh,خيب,Noun,emotion,كلمة للتحقير أو الخيبة,كلمة يراد بها التحقير للشيء أو وصفه بالفشل والضعة.,general,"[""مذلة"", ""هوان""]",[],وردت في الشعر الشعبي الحضرمي لوصف تافه الأمور.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 45,"[{""f"": ""يا لتفاهة هذا العمل، لا فائدة منه."", ""h"": ""يا خيبة ذي الشغلة، ما منها فايدة.""}, {""f"": ""خيبة تلازم الأشياء التافهة (مثال من الشعر الشعبي)."", ""h"": ""خيبة المرابش والقصب خيبة صنابيق الخصار.""}]",[],"[""emotions"", ""speech"", ""shame""]","الكلمة: خيبه
الجذر: خيب
الفصحى: كلمة للتحقير أو الخيبة
المعنى: كلمة يراد بها التحقير للشيء أو وصفه بالفشل والضعة.
المرادفات: مذلة، هوان
مثال: يا خيبة ذي الشغلة، ما منها فايدة.
الوسوم: emotions، speech، shame
ملاحظة: وردت في الشعر الشعبي الحضرمي لوصف تافه الأمور."
288,الْخُرُق,الخرق,alkhrq,خرق,Noun,object,الثقب,الثقب أو الفتحة الصغيرة في جدار أو ثوب أو وعاء.,general,"[""خزق"", ""فتحة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 45,"[{""f"": ""أغلق الثقب الذي في الجدار لكي لا يدخل منه الغبار."", ""h"": ""سد الخرق ذي في الجدار لا يدخل منه الهبب.""}, {""f"": ""هذا الثقب واسع، يحتاج إلى رقعة قماشية."", ""h"": ""هذا الخرق وسيع، يحتاج رقعة.""}]",[],"[""daily life"", ""hole""]","الكلمة: الْخُرُق (الخرق)
الجذر: خرق
الفصحى: الثقب
المعنى: الثقب أو الفتحة الصغيرة في جدار أو ثوب أو وعاء.
المرادفات: خزق، فتحة
مثال: سد الخرق ذي في الجدار لا يدخل منه الهبب.
الوسوم: daily life، hole"
289,الْخَطَّاف,الخطاف,alkhTaf,خطف,Noun,object,كُلاّب حديدي,حبل مربوط بقطعة حديد متشعبة الرؤوس، يستخدم لانتشال الأدوات (مثل الزانة) إذا سقطت في البئر.,general,"[""مخطاف""]","[""مخطاف""]",,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 46,"[{""f"": ""سقطت الأداة في البئر، أحضر الخطاف الحديدي لنخرجها."", ""h"": ""سقطت الزانة في الطوي، جيب الخطاف نطلعها.""}, {""f"": ""اربط الخطاف جيداً بالحبل قبل أن تنزله في البئر."", ""h"": ""اربط الخطاف زين بالحبل قبل ما تنزله.""}]",[],"[""tools"", ""agriculture""]","الكلمة: الْخَطَّاف (الخطاف)
الجذر: خطف
الفصحى: كُلاّب حديدي
المعنى: حبل مربوط بقطعة حديد متشعبة الرؤوس، يستخدم لانتشال الأدوات (مثل الزانة) إذا سقطت في البئر.
المرادفات: مخطاف
مثال: سقطت الزانة في الطوي، جيب الخطاف نطلعها.
الوسوم: tools، agriculture"
290,الْخُور,الخور,alkhwr,خور,Noun,object,بالوعة أو مكان تصريف المجاري,المكان المخصص لتصريف مجاري البيت، ويكون عادةً في الجهة الخلفية من المنزل.,general,"[""مجاري"", ""بالوعة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 46,"[{""f"": ""مكان تصريف المجاري امتلأ، يحتاج إلى تنظيف."", ""h"": ""الخور امتلى، يبغى له تنظيف.""}, {""f"": ""لا تقف خلف البيت، رائحة المجاري قوية."", ""h"": ""لا توقف وراء البيت، ريحة الخور قوية.""}]",[],"[""architecture"", ""home"", ""drain""]","الكلمة: الْخُور (الخور)
الجذر: خور
الفصحى: بالوعة أو مكان تصريف المجاري
المعنى: المكان المخصص لتصريف مجاري البيت، ويكون عادةً في الجهة الخلفية من المنزل.
المرادفات: مجاري، بالوعة
مثال: الخور امتلى، يبغى له تنظيف.
الوسوم: architecture، home، drain"
291,الْخَرْش,الخرش,alkhrsh,خرش,Noun,object,طين المباني المتهدمة,بقايا الطين المستخرج من المباني المتهدمة، يعاد استخدامه في صناعة اللبِن (المدر) لاحتوائه على التبن ورخص ثمنه.,general,"[""طين قديم""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 46,"[{""f"": ""خلطوا بقايا طين الهدم مع الطين الجديد لكي يقوى الطوب (المدر)."", ""h"": ""خلطوا الخرش مع الطين الجديد عشان المدر يقوى.""}, {""f"": ""أحضروا حمولة من طين الهدم من حصن فلان المتهدم."", ""h"": ""جابوا حمولة خرش من حصن فلان المهدوم.""}]",[],"[""architecture"", ""construction"", ""brick""]","الكلمة: الْخَرْش (الخرش)
الجذر: خرش
الفصحى: طين المباني المتهدمة
المعنى: بقايا الطين المستخرج من المباني المتهدمة، يعاد استخدامه في صناعة اللبِن (المدر) لاحتوائه على التبن ورخص ثمنه.
المرادفات: طين قديم
مثال: خلطوا الخرش مع الطين الجديد عشان المدر يقوى.
الوسوم: architecture، construction، brick"
292,الْخَلْع,الخلع,alkhl3,خلع,Noun/Verb,action,غرس شتلات النخل,عملية غرس شتلة النخل في مكان جديد بعد قلعها من منبتها الأصلي، ويطلق أيضاً على مجموعة النخل المغروسة.,general,"[""غرس"", ""نصابة""]",[],يقال 'خلع فلان' أي النخل الذي غرسه فلان.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 47,"[{""f"": ""هذا النخل من غرس جدي، زرعه منذ سنوات طويلة."", ""h"": ""هذا خلع جدي غرسها من سنين.""}, {""f"": ""الوقت الآن مناسب لغرس شتلات النخل."", ""h"": ""الوقت دحين زين لخلع الفسائل.""}]",[],"[""agriculture"", ""nature"", ""tree""]","الكلمة: الْخَلْع (الخلع)
الجذر: خلع
الفصحى: غرس شتلات النخل
المعنى: عملية غرس شتلة النخل في مكان جديد بعد قلعها من منبتها الأصلي، ويطلق أيضاً على مجموعة النخل المغروسة.
المرادفات: غرس، نصابة
مثال: هذا خلع جدي غرسها من سنين.
الوسوم: agriculture، nature، tree
ملاحظة: يقال 'خلع فلان' أي النخل الذي غرسه فلان."
293,الْخْرَابَة,الخرابة,alkhrabh,خرب,Noun,object,الأطلال أو المباني المهدمة,تشير إلى البيوت أو الحصون القديمة التي تهالكت وسقطت أجزاء منها ولم تعد مسكونة.,general,"[""أطلال"", ""هدم""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 47,"[{""f"": ""لا تلعبوا في المباني المهدمة، أخشى أن تسقط فوقكم."", ""h"": ""لا تلعبوا في الخرابة، خايف تسقط عليكم.""}, {""f"": ""البلدة أصبحت كلها أطلال متهدمة بعد مرور السيل."", ""h"": ""البلاد قدها كلها خرابات من بعد السيل.""}]",[],"[""architecture"", ""daily life"", ""ruins""]","الكلمة: الْخْرَابَة (الخرابة)
الجذر: خرب
الفصحى: الأطلال أو المباني المهدمة
المعنى: تشير إلى البيوت أو الحصون القديمة التي تهالكت وسقطت أجزاء منها ولم تعد مسكونة.
المرادفات: أطلال، هدم
مثال: لا تلعبوا في الخرابة، خايف تسقط عليكم.
الوسوم: architecture، daily life، ruins"
294,الْخَيْبَعَان,الخيبعان,alkhyb3an,خبع,Noun,person,غناء نسائي في الأفراح,لون من ألوان الغناء والطقوس الشعبية الحضرمية التي تؤديها النساء فقط في مناسبات الزواج.,general,"[""مغنى حريمي""]",[],يعتبر من التراث الفني النسوي الأصيل في حضرموت.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 47,"[{""f"": ""الليلة هناك طقوس غناء 'الخيبعان' في بيت العروس."", ""h"": ""الليلة في خيبعان في دار العروسة.""}, {""f"": ""صوت النساء وهن يغنين الخيبعان يصل إلى نهاية الشارع."", ""h"": ""صوت الحريم يغنين الخيبعان واصل لآخر الشارع.""}]",[],"[""social customs"", ""art"", ""marriage"", ""song""]","الكلمة: الْخَيْبَعَان (الخيبعان)
الجذر: خبع
الفصحى: غناء نسائي في الأفراح
المعنى: لون من ألوان الغناء والطقوس الشعبية الحضرمية التي تؤديها النساء فقط في مناسبات الزواج.
المرادفات: مغنى حريمي
مثال: الليلة في خيبعان في دار العروسة.
الوسوم: social customs، art، marriage، song
ملاحظة: يعتبر من التراث الفني النسوي الأصيل في حضرموت."
295,الخيل,الخيل,alkhyl,خيل,Noun,object,مراقب توزيع المياه,الشخص الخبير والمسؤول عن تقسيم مياه الري، إنشاء السواقي، حل نزاعات المياه، ومسؤولية السدود الصغيرة (الضمر).,general,"[""خبير مياه"", ""مشرف ري""]","[""الخيل (نطق محلي)""]",بكسر الحاء والياء المشددة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 47,"[{""f"": ""نادِ خبير المياه ليرى لماذا انقطع الماء في القناة."", ""h"": ""نادِ الخيل يشوف الساقية ليش انقطعت.""}, {""f"": ""خبير المياه هو أعلم الناس بحدود السدود وقنوات الري."", ""h"": ""الخيل هو أدرى الناس بحدود الضمر والمساقي.""}]",[],"[""agriculture"", ""profession"", ""water""]","الكلمة: الخيل
الجذر: خيل
الفصحى: مراقب توزيع المياه
المعنى: الشخص الخبير والمسؤول عن تقسيم مياه الري، إنشاء السواقي، حل نزاعات المياه، ومسؤولية السدود الصغيرة (الضمر).
المرادفات: خبير مياه، مشرف ري
مثال: نادِ الخيل يشوف الساقية ليش انقطعت.
الوسوم: agriculture، profession، water
ملاحظة: بكسر الحاء والياء المشددة."
296,خَمْقَه,خمقه,khmqh,خمق,Adjective,descriptor,تمر فاسد,وصف لحبات التمر التي تعفنت أو تغير طعمها وأصبحت غير صالحة للاستهلاك الآدمي.,general,"[""فاسد"", ""خمج""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 47,"[{""f"": ""لا تشترِ هذا التمر، معظمه فاسد."", ""h"": ""لا تشتري هذا التمر، أكثره خمقة.""}, {""f"": ""فصلنا التمر الجيد عن التمر الفاسد."", ""h"": ""عزلنا التمر الزين من الخمقة.""}]",[],"[""food"", ""agriculture"", ""date""]","الكلمة: خَمْقَه (خمقه)
الجذر: خمق
الفصحى: تمر فاسد
المعنى: وصف لحبات التمر التي تعفنت أو تغير طعمها وأصبحت غير صالحة للاستهلاك الآدمي.
المرادفات: فاسد، خمج
مثال: لا تشتري هذا التمر، أكثره خمقة.
الوسوم: food، agriculture، date"
297,الْخُرْفَة,الخرفه,alkhrfh,خرف,Noun,object,موسم جني التمر,موسم قطف التمر واستخراجه من النخيل وقطع الشماريخ (الخيول).,general,"[""جداد"", ""صرم""]",[],بضم الخاء,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 48,"[{""f"": ""بدأ موسم جني التمر في وادي حضرموت."", ""h"": ""بدأت الخرفة في وادي حضرموت.""}, {""f"": ""موسم قطف التمر هذا العام وفير جداً."", ""h"": ""الخرفة هذه السنة خيراتها واجد.""}]",[],"[""agriculture"", ""social customs"", ""date""]","الكلمة: الْخُرْفَة (الخرفه)
الجذر: خرف
الفصحى: موسم جني التمر
المعنى: موسم قطف التمر واستخراجه من النخيل وقطع الشماريخ (الخيول).
المرادفات: جداد، صرم
مثال: بدأت الخرفة في وادي حضرموت.
الوسوم: agriculture، social customs، date
ملاحظة: بضم الخاء"
298,الْخُبْرَة,الخبرة,alkhbrh,خبر,Noun,object,كيس وقاية التمر,كيس واسع المسام مصنوع من الخوص، يغطى به عذق النخل (المثمر) لمنع تساقط التمر وحمايته من الطيور.,general,"[""كيس خوص""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 48,"[{""f"": ""اربط كيس الخوص على عذق التمر قبل أن ينضج تماماً."", ""h"": ""اربط الخبرة على العذق قبل ما يستوي.""}, {""f"": ""كيس الخوص يحمي التمر من الطيور."", ""h"": ""الخبرة تحمي التمر من الطيور.""}]",[],"[""tools"", ""agriculture"", ""date""]","الكلمة: الْخُبْرَة (الخبرة)
الجذر: خبر
الفصحى: كيس وقاية التمر
المعنى: كيس واسع المسام مصنوع من الخوص، يغطى به عذق النخل (المثمر) لمنع تساقط التمر وحمايته من الطيور.
المرادفات: كيس خوص
مثال: اربط الخبرة على العذق قبل ما يستوي.
الوسوم: tools، agriculture، date"
299,الْخُطَّفَه,الخطفه,alkhTfh,خطف,Noun,object,طائر الحدأة,اسم يطلق على طائر الحدأة، وسميت بذلك لسرعتها في خطف الفرائس.,general,"[""حدأة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 48,"[{""f"": ""طائر الحدأة حام فوق الدجاج."", ""h"": ""الخطفة حامت فوق الدجاج.""}, {""f"": ""خطفه طائر الحدأة (بسرعة) وهو لا يشعر."", ""h"": ""خطفته الخطفة وهو ما يدري.""}]",[],"[""nature"", ""animals"", ""bird""]","الكلمة: الْخُطَّفَه (الخطفه)
الجذر: خطف
الفصحى: طائر الحدأة
المعنى: اسم يطلق على طائر الحدأة، وسميت بذلك لسرعتها في خطف الفرائس.
المرادفات: حدأة
مثال: الخطفة حامت فوق الدجاج.
الوسوم: nature، animals، bird"
300,الْخَتْمَه,الختمه,alkhtmh,ختم,Noun,object,المصحف الشريف,تسمية يطلقها الحضارم على المصحف الكريم، تيمناً بختم القرآن.,general,"[""مصحف"", ""قرآن""]",[],تستخدم عادة عند الطلب أو القراءة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 48,"[{""f"": ""أعطني المصحف لكي أقرأ وردي اليومي."", ""h"": ""ناولني الختمة خلنا نقرأ وردنا.""}, {""f"": ""ضع المصحف الشريف في مكان مرتفع."", ""h"": ""حط الختمة في مكان عالي.""}]",[],"[""religion"", ""daily life"", ""quran""]","الكلمة: الْخَتْمَه (الختمه)
الجذر: ختم
الفصحى: المصحف الشريف
المعنى: تسمية يطلقها الحضارم على المصحف الكريم، تيمناً بختم القرآن.
المرادفات: مصحف، قرآن
مثال: ناولني الختمة خلنا نقرأ وردنا.
الوسوم: religion، daily life، quran
ملاحظة: تستخدم عادة عند الطلب أو القراءة."
301,الْخِطْمَة,لخطمة,alkhTmh,خطم,Noun,object,البرقع,غطاء للوجه تلبسه المرأة، يتميز بفتحات للعينين.,general,"[""برقع""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 49,"[{""f"": ""خرجت المرأة إلى السوق وهي ترتدي البرقع."", ""h"": ""الحرمة خرجت السوق بالخِطمة.""}, {""f"": ""البرقع قماشه أسود وسميك."", ""h"": ""الخِطمة قماشها أسود ثقيل.""}]",[],"[""clothing"", ""social customs""]","الكلمة: الْخِطْمَة (لخطمة)
الجذر: خطم
الفصحى: البرقع
المعنى: غطاء للوجه تلبسه المرأة، يتميز بفتحات للعينين.
المرادفات: برقع
مثال: الحرمة خرجت السوق بالخِطمة.
الوسوم: clothing، social customs"
302,الْخِطْبَاه,لخطباه,alkhTbah,خطب,Noun,person,الخُطوبة,مراسم طلب يد المرأة للزواج والاتفاق الأولي بين العائلتين.,general,"[""خُطوبة""]",[],تلفظ بمد الألف في الآخر.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 49,"[{""f"": ""اليوم مراسم خطوبة فلان على ابنة فلان."", ""h"": ""اليوم خِطباه فلان على بنت فلان.""}, {""f"": ""وزعوا مشروبات الحلويات في حفل الخطوبة."", ""h"": ""وزعوا شربات في الخِطباه.""}]",[],"[""marriage"", ""social customs""]","الكلمة: الْخِطْبَاه (لخطباه)
الجذر: خطب
الفصحى: الخُطوبة
المعنى: مراسم طلب يد المرأة للزواج والاتفاق الأولي بين العائلتين.
المرادفات: خُطوبة
مثال: اليوم خِطباه فلان على بنت فلان.
الوسوم: marriage، social customs
ملاحظة: تلفظ بمد الألف في الآخر."
303,خفرج,خفرج,khfrj,خفرج,Noun,object,طائر جارح يشبه الصقر,طائر من الجوارح حجمه أكبر من 'العول'، ويشبه الصقر في شكله وحدته.,general,"[""صقر"", ""باشق""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 49,"[{""f"": ""انظر إلى ذلك الجارح الضخم يحوم فوق الجبل."", ""h"": ""شف الخفرج يحوم فوق الجبل.""}, {""f"": ""طائر الخفرج سريع جداً في صيد الأرانب البرية."", ""h"": ""الخفرج سريع في صيد الأرانب.""}]",[],"[""nature"", ""animals"", ""bird""]","الكلمة: خفرج
الجذر: خفرج
الفصحى: طائر جارح يشبه الصقر
المعنى: طائر من الجوارح حجمه أكبر من 'العول'، ويشبه الصقر في شكله وحدته.
المرادفات: صقر، باشق
مثال: شف الخفرج يحوم فوق الجبل.
الوسوم: nature، animals، bird"
